time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010443000000	0.1709	2.5217	0	0	0	lidar	0	0.1709	2.5217	0	2.75	0	1
1477010443400000	0.640964	2.88745	0.863546	-8.30346e-18	-1.92999e-17	radar	8.06412	-0.0782824	2.65255	-0.022	3.0991	-0.1097	0.994
1477010443800000	0.0255595	3.48772	0.250419	0.457838	0.204792	lidar	0.0121597	0.014	3.5442	-0.0938	3.4924	-0.2334	0.9724
1477010444200000	-0.180851	3.71924	0.273565	1.4518	0.687383	radar	4.28219	-0.420351	4.10664	-0.2143	3.8735	-0.3535	0.9354
1477010444600000	-0.365974	3.99052	0.667609	2.9831	1.25233	lidar	1.55871	-0.6162	4.0628	-0.3817	4.2365	-0.4679	0.8838
1477010445000000	-0.663477	4.41415	1.42417	1.74205	0.499794	radar	8.49481	-0.774519	5.11762	-0.5932	4.5757	-0.575	0.8181
1477010445400000	-0.701823	4.84305	1.43318	1.88279	0.477583	lidar	0.000108329	-0.6977	4.8441	-0.8456	4.8857	-0.673	0.7396
1477010445800000	-0.997413	5.29627	1.68366	2.1734	0.511436	radar	0.248209	-0.978695	5.11084	-1.1348	5.1616	-0.7604	0.6494
1477010446200000	-1.44156	5.42684	1.08861	2.56336	0.621479	lidar	0.0882034	-1.4412	5.3305	-1.4564	5.3991	-0.8358	0.549
1477010446600000	-1.81828	5.58891	1.08328	2.82873	0.631409	radar	0.0424255	-1.79853	5.52882	-1.8051	5.5945	-0.898	0.4399
1477010447000000	-2.27393	5.77347	1.25617	2.98085	0.568908	lidar	0.0409108	-2.2799	5.8278	-2.1756	5.7445	-0.9461	0.3239
1477010447400000	-3.05438	5.75952	2.32986	-3.0869	0.531585	radar	4.79205	-2.81778	5.18865	-2.562	5.847	-0.9792	0.2028
1477010447800000	-2.78523	5.99436	-0.229096	3.12978	0.365314	lidar	0.244688	-2.5918	6.0257	-2.9582	5.9002	-0.9969	0.0785
1477010448200000	-3.42131	5.87414	1.96211	-2.89262	0.431427	radar	5.20785	-3.31223	5.45484	-3.3579	5.9033	-0.9989	-0.0471
1477010448600000	-3.72476	5.87949	0.940842	-2.85325	0.359012	lidar	0.113386	-3.6676	5.9692	-3.7549	5.8563	-0.9851	-0.1719
1477010449000000	-4.23193	5.69209	1.50698	-2.75007	0.315887	radar	1.66214	-4.07603	5.47106	-4.1429	5.76	-0.9558	-0.294
1477010449400000	-4.8508	5.65474	1.50002	-2.82447	0.213257	lidar	0.121391	-4.8944	5.7424	-4.5157	5.6157	-0.9114	-0.4115
1477010449800000	-4.99634	5.48399	0.668981	-2.6607	0.247946	radar	1.63397	-4.64275	5.22876	-4.8675	5.4259	-0.8526	-0.5225
1477010450200000	-5.19387	5.01499	0.892789	-2.31659	0.36307	lidar	0.636306	-5.1043	4.8485	-5.1927	5.1935	-0.7804	-0.6252
1477010450600000	-5.43056	4.83515	0.865949	-2.18256	0.387061	radar	4.8239	-5.83569	5.2879	-5.4863	4.9222	-0.6959	-0.7181
1477010451000000	-5.63986	4.56638	0.868377	-2.06088	0.370741	lidar	0.010268	-5.6589	4.5805	-5.7435	4.6162	-0.6004	-0.7997
1477010451400000	-5.88773	4.18893	0.955607	-2.02056	0.302907	radar	0.510865	-5.94137	4.11368	-5.9603	4.2804	-0.4955	-0.8686
1477010451800000	-6.01762	4.11421	0.449512	-1.97955	0.267189	lidar	0.0705786	-6.0564	4.1742	-6.1333	3.92	-0.3827	-0.9239
1477010452200000	-6.19958	3.62156	1.09558	-1.88399	0.253035	radar	1.15807	-6.08844	3.38242	-6.2599	3.5408	-0.2639	-0.9646
1477010452600000	-6.31899	3.03825	1.43396	-1.72915	0.276861	lidar	0.0157916	-6.2991	3.0066	-6.3378	3.1487	-0.1409	-0.99
1477010453000000	-6.30687	2.74787	0.660007	-1.61578	0.263406	radar	0.717639	-6.0813	2.72226	-6.3661	2.75	-0.0157	-0.9999
1477010453400000	-6.30213	2.19918	1.24998	-1.49468	0.264141	lidar	0.0413498	-6.2656	2.1544	-6.3441	2.3509	0.1097	-0.994
1477010453800000	-6.17914	1.81867	1.08148	-1.31255	0.307856	radar	0.0696825	-6.09422	1.84645	-6.2723	1.9576	0.2334	-0.9724
